x_metres,y_metres,z_metres
3.167837142231189063e+00,-3.799844170718035263e-01,4.704332351684570312e+00
-7.433087002417585687e+00,-4.113076506779743124e-01,1.102577877044677734e+01
-6.743085063724217676e+00,-3.988437986465385166e-01,1.069166469573974609e+01
-6.278327893471725929e+00,-3.988437986465385166e-01,1.069166469573974609e+01
-5.995244565245561041e+00,-4.113076506779743124e-01,1.102577877044677734e+01
-3.268719287456769873e+00,-2.437378690448758212e-01,6.533794879913330078e+00
-2.442028191357125344e+00,-1.994218993232692583e-01,5.345832347869873047e+00
-1.822960930067879293e+00,-1.645230673863976312e-01,4.410311698913574219e+00
-1.631248596820534136e+00,-1.645230673863976312e-01,4.410311698913574219e+00
-1.439536263573189201e+00,-1.645230673863976312e-01,4.410311698913574219e+00
-1.247823930325844044e+00,-1.645230673863976312e-01,4.410311698913574219e+00
-1.043073107585841264e+00,-1.624919067672439543e-01,4.355863094329833984e+00
-8.753410136513588569e-01,-1.666056353828302972e-01,4.466138362884521484e+00
-6.726869305838086843e-01,-1.645230673863976312e-01,4.410311698913574219e+00
-4.809745973364635829e-01,-1.645230673863976312e-01,4.410311698913574219e+00
-4.821037526320912092e-01,-2.742051004519828195e-01,7.350519180297851562e+00
-1.625832110383079454e-01,-2.742051004519828195e-01,7.350519180297851562e+00
1.569373305554753462e-01,-2.742051004519828195e-01,7.350519180297851562e+00
4.667342427361799162e-01,-2.686090783567999241e-01,7.200508594512939453e+00
7.959784137430419015e-01,-2.742051004519828195e-01,7.350519180297851562e+00
1.115498955336825304e+00,-2.742051004519828195e-01,7.350519180297851562e+00
1.435019496930608485e+00,-2.742051004519828195e-01,7.350519180297851562e+00
1.718733101285509379e+00,-2.686090783567999241e-01,7.200508594512939453e+00
2.031732815922841606e+00,-2.686090783567999241e-01,7.200508594512939453e+00
2.393581121711958470e+00,-2.742051004519828195e-01,7.350519180297851562e+00
2.713101663305741873e+00,-2.742051004519828195e-01,7.350519180297851562e+00
3.032622204899524831e+00,-2.742051004519828195e-01,7.350519180297851562e+00
3.352142746493308234e+00,-2.742051004519828195e-01,7.350519180297851562e+00
3.671663288087091637e+00,-2.742051004519828195e-01,7.350519180297851562e+00
4.076102623550128534e+00,-2.800392507684922871e-01,7.506913185119628906e+00
2.687192364393621524e+00,-1.709330514805108558e-01,4.582141876220703125e+00
2.886374002865350175e+00,-1.709330514805108558e-01,4.582141876220703125e+00
6.252310047741756804e+00,-3.463643374130309649e-01,9.284866333007812500e+00
-4.635870793351274166e+00,4.531544114180043742e-02,7.350519180297851562e+00
-4.228261476823805154e+00,4.439063628053242783e-02,7.200508594512939453e+00
-4.263285006889339535e+00,4.833647035527594005e-02,7.840553760528564453e+00
-3.602262047549140700e+00,4.439063628053242783e-02,7.200508594512939453e+00
-2.518341470232105639e+00,3.398658085635033327e-02,5.512889385223388672e+00
-1.846036357435095754e+00,2.753343337391708431e-02,4.466138362884521484e+00
-1.517440489556413308e+00,2.529233924193512867e-02,4.102615356445312500e+00
-1.028240154914966675e+00,1.942090355646219207e-02,3.150222539901733398e+00
-8.388731873896621005e-01,1.827849711906229593e-02,2.964915275573730469e+00
-7.476896090719284960e-01,1.924903733541098727e-02,3.122344493865966797e+00
-5.715036014826619937e-01,1.797637273813818687e-02,2.915908336639404297e+00
-5.029434655159154000e-01,2.032842169992894049e-02,3.297429084777832031e+00
-3.562774669894079316e-01,2.014019622633730910e-02,3.266897439956665039e+00
-2.047874388978785098e-01,1.924903733541098727e-02,3.122344493865966797e+00
-6.396716594963497426e-02,1.782902628805548700e-02,2.892007589340209961e+00
6.550427639319204853e-02,1.891427088077458213e-02,3.068042755126953125e+00
2.041962331288540156e-01,1.942090355646219207e-02,3.150222539901733398e+00
3.473360336796157966e-01,1.977401059988561152e-02,3.207499265670776367e+00
4.738402738196841324e-01,1.924903733541098727e-02,3.122344493865966797e+00
1.324633403264746656e+00,4.182963865543148918e-02,6.785094738006591797e+00
1.452033080383352548e+00,3.750243262923649151e-02,6.083188056945800781e+00
2.031732815922841606e+00,4.439063628053242783e-02,7.200508594512939453e+00
2.344732530560174055e+00,4.439063628053242783e-02,7.200508594512939453e+00
2.713101663305741873e+00,4.531544114180043742e-02,7.350519180297851562e+00
3.032622204899524831e+00,4.531544114180043742e-02,7.350519180297851562e+00
3.352142746493308234e+00,4.531544114180043742e-02,7.350519180297851562e+00
